priority,figma_page,frame_name,route_or_surface,primary_role,breakpoints,required_states,notes
P0,02 App Shell And Navigation,Home Workflow Overview,/aura-note,clinician,"desktop;tablet;mobile","loading;ready;failed;permission-denied;read-only;degraded;demo fixture","Operational home, not a landing page"
P0,03 Schedule And Patient Context,Schedule Builder Ready,/aura-note/schedule,clinician,"desktop;tablet;mobile","empty;loading;ready;saving;failed;permission-denied;read-only;degraded;demo fixture","One appointment maps to one note shell"
P0,03 Schedule And Patient Context,Patient Context Sidecar,/aura-note/schedule patient panel,clinician,"desktop;mobile","empty;loading;ready;failed;permission-denied;read-only;degraded;demo fixture","Safe patient identifier and source freshness"
P0,04 Documentation Workspace,Workspace Locked Before Timer,/aura-note/workspace/[appointmentId],clinician,"desktop;tablet;mobile","ready;blocked;read-only;demo fixture","Editor locked until timer running or approved exception"
P0,04 Documentation Workspace,Workspace Timer Running,/aura-note/workspace/[appointmentId],clinician,"desktop;tablet;mobile","loading;ready;saving;failed;permission-denied;degraded","Editor, timer, panels, and drawer controls"
P0,04 Documentation Workspace,Transcript Drawer,workspace transcript drawer,clinician,"desktop;mobile","empty;loading;ready;saving;failed;permission-denied;read-only;degraded;demo fixture","Synthetic transcript metadata and correction history"
P0,04 Documentation Workspace,Suggestions And Visit Selections,workspace suggestions selections,clinician,"desktop;mobile","empty;loading;ready;saving;blocked;failed;permission-denied;read-only;demo fixture","Draft/candidate suggestions and accepted selections"
P0,04 Documentation Workspace,Low Confidence Override Modal,workspace low-confidence modal,clinician,"desktop;mobile","ready;saving;blocked;failed;permission-denied;read-only","Diagnosis suggestion under 75 percent requires override metadata"
P0,04 Documentation Workspace,Compliance And History Gap Drawers,workspace compliance history gap,clinician,"desktop;mobile","empty;loading;ready;saving;blocked;failed;permission-denied;read-only;demo fixture","Hard blockers disable finalize-facing actions"
P0,05 Finalization And Outputs,Finalization Wizard Code Review,/aura-note/finalization/[noteId],clinician,"desktop;tablet;mobile","loading;ready;saving;blocked;failed;permission-denied;read-only;demo fixture","Step 1 of six-step human review"
P0,05 Finalization And Outputs,Finalization Billing Attest Draft Claim,/aura-note/finalization/[noteId],clinician,"desktop;tablet;mobile","ready;saving;blocked;failed;permission-denied;read-only","submittedClaim=false is visible"
P0,05 Finalization And Outputs,Finalization Blocked By MA Task,/aura-note/finalization/[noteId],clinician,"desktop;mobile","blocked;permission-denied;read-only","Route to operations task owner"
P0,05 Finalization And Outputs,Finalized Note Viewer,/aura-note/finalized/[noteId],clinician,"desktop;tablet;mobile","loading;ready;saving;failed;permission-denied;read-only;finalized;degraded;disabled","Read-only final note and patient summary"
P0,05 Finalization And Outputs,Export And Secure Download,/aura-note/finalized/[noteId] export,clinician,"desktop;mobile","loading;ready;saving;failed;permission-denied;read-only;degraded;disabled","Server-mediated metadata, no public URLs"
P0,06 Operations Worklists,Task Inbox And MA Follow-Up,/aura-note/operations,MA,"desktop;tablet;mobile","empty;loading;ready;saving;blocked;failed;permission-denied;read-only;demo fixture","Owner, due state, blockers, route back"
P0,06 Operations Worklists,Billing Review Queue,/aura-note/operations billing tab,billing staff,"desktop;mobile","empty;loading;ready;saving;blocked;failed;permission-denied;read-only;demo fixture","Transcript visible only when routed"
P1,06 Operations Worklists,Settings Templates Estimates Rules,/aura-note/operations,admin,"desktop;tablet","empty;loading;ready;saving;blocked;failed;permission-denied;read-only;degraded;disabled","Standalone operations configuration"
P1,07 Platform Admin And Integrations,Platform Admin,/aura-note/platform,authorized admin,"desktop;tablet","loading;ready;saving;failed;permission-denied;read-only;degraded;disabled;demo fixture","Identity, config, feature flags, no secrets"
P1,07 Platform Admin And Integrations,EHR Integration,/aura-note/integrations/ehr,admin,"desktop;tablet","loading;ready;saving;blocked;failed;permission-denied;read-only;degraded;disabled;demo fixture","Sandbox/writeback queue only unless approved"
P1,07 Platform Admin And Integrations,ClinicOS Integration,/aura-note/integrations/clinicos,admin,"desktop;tablet","loading;ready;saving;blocked;failed;permission-denied;read-only;degraded;disabled;demo fixture","Adapter-bound integrated mode"
P1,08 AI Governance And Coaching,AI Governance,/aura-note/ai-governance,compliance/privacy lead,"desktop;tablet","loading;ready;blocked;failed;permission-denied;read-only;degraded;disabled;demo fixture","No raw PHI to external AI"
P2,08 AI Governance And Coaching,Coaching,/aura-note/coaching,clinician,"desktop;tablet","empty;loading;ready;failed;permission-denied;read-only;demo fixture","Own report and permission-limited admin views"
P1,09 Support Commercial Readiness,Support Status,/aura-note/support/status,support,"desktop;tablet","loading;ready;blocked;failed;permission-denied;read-only;degraded;disabled;demo fixture","Metadata-only support by default"
P2,09 Support Commercial Readiness,Figma Handoff Inventory,/aura-note/figma-handoff,designer,"desktop","ready;failed;permission-denied;read-only;degraded;disabled;demo fixture","Reviewer utility surface"
